0	0.56%	0.53%
1	0.56%	0.54%
2	0.55%	0.53%
3	0.57%	0.55%
4	0.58%	0.56%
5	0.59%	0.57%
6	0.61%	0.58%
7	0.62%	0.60%
8	0.63%	0.60%
9	0.63%	0.60%
10	0.62%	0.60%
11	0.63%	0.60%
12	0.63%	0.60%
13	0.65%	0.61%
14	0.66%	0.63%
15	0.68%	0.65%
16	0.68%	0.65%
17	0.67%	0.64%
18	0.67%	0.64%
19	0.67%	0.64%
20	0.66%	0.63%
21	0.66%	0.63%
22	0.67%	0.64%
23	0.67%	0.64%
24	0.66%	0.64%
25	0.66%	0.64%
26	0.66%	0.64%
27	0.66%	0.64%
28	0.67%	0.65%
29	0.69%	0.67%
30	0.70%	0.68%
31	0.71%	0.70%
32	0.72%	0.71%
33	0.72%	0.71%
34	0.70%	0.69%
35	0.69%	0.68%
36	0.68%	0.67%
37	0.68%	0.67%
38	0.68%	0.67%
39	0.66%	0.65%
40	0.67%	0.66%
41	0.67%	0.66%
42	0.66%	0.65%
43	0.66%	0.65%
44	0.63%	0.62%
45	0.61%	0.61%
46	0.60%	0.60%
47	0.58%	0.58%
48	0.59%	0.59%
49	0.57%	0.58%
50	0.58%	0.59%
51	0.61%	0.61%
52	0.65%	0.65%
53	0.63%	0.64%
54	0.61%	0.61%
55	0.59%	0.60%
56	0.59%	0.61%
57	0.60%	0.61%
58	0.62%	0.64%
59	0.63%	0.66%
60	0.63%	0.66%
61	0.63%	0.66%
62	0.62%	0.66%
63	0.61%	0.65%
64	0.59%	0.64%
65	0.59%	0.63%
66	0.57%	0.62%
67	0.54%	0.60%
68	0.52%	0.58%
69	0.50%	0.56%
70	0.48%	0.54%
71	0.45%	0.52%
72	0.43%	0.50%
73	0.40%	0.47%
74	0.39%	0.46%
75	0.38%	0.45%
76	0.40%	0.46%
77	0.27%	0.33%
78	0.26%	0.32%
79	0.24%	0.30%
80	0.24%	0.30%
81	0.20%	0.26%
82	0.17%	0.23%
83	0.15%	0.21%
84	0.13%	0.19%
85	0.12%	0.17%
86	0.10%	0.15%
87	0.09%	0.14%
88	0.08%	0.12%
89	0.06%	0.10%
90	0.05%	0.09%
91	0.04%	0.08%
92	0.04%	0.07%
93	0.03%	0.06%
94	0.02%	0.05%
95	0.02%	0.04%
96	0.01%	0.03%
97	0.01%	0.02%
98	0.01%	0.02%
99	0.00%	0.01%
100	0.01%	0.02%
